name	x	y	z	size	chan_num	FS_label	FS_vol	FS_ind	WMvsGM	LvsR	sEEG_ECoG	Desikan_Killiany	DK_ind	DK_lobe	Destrieux	Destr_ind	Destr_long	Yeo7	Yeo7_ind	Yeo17	Yeo17_ind	PTD_ind	surr_GM_vox	surr_WM_vox	LEPTO_coord_1	LEPTO_coord_2	LEPTO_coord_3	MNI_coord_1	MNI_coord_2	MNI_coord_3	MGRID_coord_1	MGRID_coord_2	MGRID_coord_3	subINF_coord_1	subINF_coord_2	subINF_coord_3	fsaverageINF_coord_1	fsaverageINF_coord_2	fsaverageINF_coord_3	ScannerNativeRAS_coord_1	ScannerNativeRAS_coord_2	ScannerNativeRAS_coord_3	sub_name
LpCN1	-5.913924001942149	2.2584518263437303	30.334219533732124	3.5 mm	1	LpCN1	ctx-lh-caudalanteriorcingulate	1002	GM	L	sEEG	caudalanteriorcingulate	3	Frontal	G_and_S_cingul-Mid-Ant	7	Middle-anterior part of the cingulate gyrus and sulcus (aMCC)	Ventral Attention	5	17Networks_8	9	0.4814815	20.0	7.0	-3.5	-6.5	32.0	-5.913924001942149	2.2584518263437303	30.334219533732124	132.5	97.0	135.5	45.784400939941406	17.801321029663086	22.67472267150879	37.415470123291016	26.99436378479004	17.34493637084961	-4.203239172697067	2.152746415697038	10.100278913974762	sub-05 LpCN1
LpCN2	-5.778401001537475	-3.5127608868666584	31.874473539864056	3.5 mm	2	LpCN2	ctx-lh-posteriorcingulate	1023	GM	L	sEEG	caudalanteriorcingulate	3	Frontal	G_and_S_cingul-Mid-Ant	7	Middle-anterior part of the cingulate gyrus and sulcus (aMCC)	Ventral Attention	5	17Networks_7	8	-0.03703704	13.0	14.0	-3.6	-11.4	31.2	-5.778401001537475	-3.5127608868666584	31.874473539864056	132.6	97.8	140.4	44.02626037597656	10.248153686523438	28.75840377807617	37.24319076538086	18.45120620727539	19.085691452026367	-4.303239166736603	-2.747253596410161	9.300278961658478	sub-05 LpCN2
LpCN3	-6.019798001412994	-9.188416690931376	34.18581104175081	3.5 mm	3	LpCN3	ctx-lh-posteriorcingulate	1023	GM	L	sEEG	posteriorcingulate	24	Parietal	G_and_S_cingul-Mid-Post	8	Middle-posterior part of the cingulate gyrus and sulcus (pMCC)	Ventral Attention	5	17Networks_7	8	0.4074074	19.0	8.0	-4.0	-16.5	31.0	-6.019798001412994	-9.188416690931376	34.18581104175081	133.0	98.0	145.5	43.1751594543457	1.6448299884796145	27.177309036254883	37.62444686889648	10.544029235839844	18.28904151916504	-4.703239142894745	-7.847253600135446	9.100278973579409	sub-05 LpCN3
LpCN4	-6.292802000883768	-15.179695208206487	35.5050475497695	3.5 mm	4	LpCN4	ctx-lh-posteriorcingulate	1023	GM	L	sEEG	posteriorcingulate	24	Parietal	G_and_S_cingul-Mid-Post	8	Middle-posterior part of the cingulate gyrus and sulcus (pMCC)	Ventral Attention	5	17Networks_7	8	0.9259259	26.0	1.0	-4.5	-21.5	30.0	-6.292802000883768	-15.179695208206487	35.5050475497695	133.5	99.0	150.5	42.23653793334961	-6.027256965637207	26.39222526550293	34.15746307373047	6.1784844398498535	26.3503532409668	-5.203239113092423	-12.84725361596793	8.100279033184052	sub-05 LpCN4
LpCN5	-6.18388500057867	-20.626818718165083	37.17695075439204	3.5 mm	5	LpCN5	Unknown	0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-4.6	-26.2	29.4	-6.18388500057867	-20.626818718165083	37.17695075439204	133.6	99.6	155.2	41.64632797241211	-13.334099769592283	22.329200744628903	33.34074783325195	-2.1606550216674805	27.10637664794922	-5.303239107131958	-17.547253625094882	7.500279068946838	sub-05 LpCN5
LpCN6	-6.415389000354537	-26.0810047254816	39.10340355778817	3.5 mm	6	LpCN6	ctx-lh-posteriorcingulate	1023	GM	L	sEEG	posteriorcingulate	24	Parietal	G_and_S_cingul-Mid-Post	8	Middle-posterior part of the cingulate gyrus and sulcus (pMCC)	Default	8	17Networks_17	18	1.0	11.0	0.0	-5.0	-31.0	29.0	-6.415389000354537	-26.0810047254816	39.10340355778817	134.0	100.0	160.0	40.93809509277344	-20.058780670166016	20.04679298400879	32.52176284790039	-10.493268966674805	27.55065155029297	-5.7032390832901	-22.347253631800413	7.100279092788696	sub-05 LpCN6
LpCN7	-6.63859099957628	-32.33694725088617	39.84028156958041	3.5 mm	7	LpCN7	ctx-lh-posteriorcingulate	1023	GM	L	sEEG	posteriorcingulate	24	Parietal	G_cingul-Post-dorsal	9	Posterior-dorsal part of the cingulate gyrus (dPCC)	Default	8	17Networks_16	17	1.0	27.0	0.0	-5.5	-36.0	27.5	-6.63859099957628	-32.33694725088617	39.84028156958041	134.5	101.5	165.0	39.1959342956543	-32.76910400390625	15.834632873535156	30.295211791992188	-19.907302856445312	31.567773818969727	-6.203239053487778	-27.34725365508348	5.600279182195664	sub-05 LpCN7
LpCN8	-6.15291336483952	-38.22106257393517	40.47307233874335	3.5 mm	8	LpCN8	ctx-lh-posteriorcingulate	1023	GM	L	sEEG	posteriorcingulate	24	Parietal	G_cingul-Post-dorsal	9	Posterior-dorsal part of the cingulate gyrus (dPCC)	Frontoparietal	7	17Networks_11	12	1.0	27.0	0.0	-5.333	-40.667	26.0	-6.15291336483952	-38.22106257393517	40.47307233874335	134.333	103.0	169.667	37.90605926513672	-41.61392211914063	16.268394470214844	30.721460342407227	-29.09054183959961	28.640220642089844	-6.036239063441741	-32.01425367712416	4.100279271602631	sub-05 LpCN8
LpCN9	-6.383348498564544	-44.03718403391212	42.42473908491024	3.5 mm	9	LpCN9	ctx-lh-precuneus	1025	GM	L	sEEG	posteriorcingulate	24	Parietal	S_cingul-Marginalis	47	Marginal branch (or part) of the cingulate sulcus	Frontoparietal	7	17Networks_11	12	1.0	24.0	0.0	-5.75	-45.75	25.5	-6.383348498564544	-44.03718403391212	42.42473908491024	134.75	103.5	174.75	37.14797592163086	-52.771575927734375	22.90885353088379	28.928911209106445	-35.11302185058594	37.12141036987305	-6.4532390385866165	-37.09725368535146	3.600279301404953	sub-05 LpCN9
LpCN10	-6.22540419831239	-49.5944063921432	44.29392478873092	3.5 mm	10	LpCN10	Left-Cerebral-White-Matter	2	GM	L	sEEG	precuneus	26	Parietal	S_cingul-Marginalis	47	Marginal branch (or part) of the cingulate sulcus	Default	8	17Networks_11	12	-0.4074074	8.0	19.0	-5.8	-50.6	25.0	-6.22540419831239	-49.5944063921432	44.29392478873092	134.8	104.0	179.6	37.01937103271485	-55.21516418457031	26.04083251953125	28.83345603942871	-41.95277786254883	40.636474609375	-6.503239035606384	-41.94725369289517	3.1002793312072754	sub-05 LpCN10
LpCN11	-6.472677997910807	-55.34360505525196	45.8585335948157	3.5 mm	11	LpCN11	Unknown	0	GM	L	sEEG	precuneus	26	Parietal	G_precuneus	30	Precuneus (medial part of P1)	Default	8	17Networks_16	17	1.0	18.0	0.0	-6.25	-55.5	24.25	-6.472677997910807	-55.34360505525196	45.8585335948157	135.25	104.75	184.5	37.00748443603516	-62.171783447265625	24.47432518005371	28.753480911254883	-53.50156021118164	43.06205749511719	-6.953239008784294	-46.84725370490924	2.350279375910759	sub-05 LpCN11
