name	x	y	z	size	chan_num	FS_label	FS_vol	FS_ind	WMvsGM	LvsR	sEEG_ECoG	Desikan_Killiany	DK_ind	DK_lobe	Destrieux	Destr_ind	Destr_long	Yeo7	Yeo7_ind	Yeo17	Yeo17_ind	PTD_ind	surr_GM_vox	surr_WM_vox	LEPTO_coord_1	LEPTO_coord_2	LEPTO_coord_3	MNI_coord_1	MNI_coord_2	MNI_coord_3	MGRID_coord_1	MGRID_coord_2	MGRID_coord_3	subINF_coord_1	subINF_coord_2	subINF_coord_3	fsaverageINF_coord_1	fsaverageINF_coord_2	fsaverageINF_coord_3	ScannerNativeRAS_coord_1	ScannerNativeRAS_coord_2	ScannerNativeRAS_coord_3	JP_label_original	JP_label_std	sub_name
LAIN1	-38.67760940467832	10.137071103210433	-13.070623951126066	3.5 mm	1	LAIN1	Unknown	0.0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-38.0	4.0	31.5	-38.67760940467832	10.137071103210433	-13.070623951126066	167.0	97.5	125.0	-9.165592193603516	41.80191802978516	-14.916336059570312	-8.591887474060059	43.87542343139648	-44.91965866088867	-37.41773986816406	6.895416259765625	-3.0443572998046875	Insula	INSULA	sub-09 LAIN1
LAIN2	-36.76184316637833	11.829649953210437	-8.445297921626093	3.5 mm	2	LAIN2	ctx-lh-insula	1035.0	GM	L	sEEG	insula	36	Insula	G_insular_short	18	Short insular gyri	Ventral Attention	5	17Networks_8	9	0.76	22.0	3.0	-36.0	3.667	35.6667	-36.76184316637833	11.829649953210437	-8.445297921626093	165.0	93.3333	125.333	-12.126744270324709	42.279762268066406	-10.602940559387209	-9.548029899597168	44.81596755981445	-40.80287170410156	-35.41773986816406	6.562416259765627	1.1223427001953183	Insula	INSULA	sub-09 LAIN2
LAIN3	-34.45306750467833	13.657609503210423	-3.1421796511260425	3.5 mm	3	LAIN3	ctx-lh-insula	1035.0	GM	L	sEEG	insula	36	Insula	G_insular_short	18	Short insular gyri	Ventral Attention	5	17Networks_8	9	0.6296296	22.0	5.0	-33.6	3.2	40.4	-34.45306750467833	13.657609503210423	-3.1421796511260425	162.6	88.6	125.8	-13.458498001098633	43.73127746582031	-8.262821197509766	-10.081949234008787	46.33600234985352	-36.35538864135742	-33.01773986816406	6.095416259765614	5.855642700195318	Insula	INSULA	sub-09 LAIN3
LAIN4	-32.44659690467833	15.704625103210432	1.8792465488739367	3.5 mm	4	LAIN4	ctx-lh-insula	1035.0	GM	L	sEEG	insula	36	Insula	G_insular_short	18	Short insular gyri	Ventral Attention	5	17Networks_8	9	0.7037037	23.0	4.0	-31.5	3.0	45.0	-32.44659690467833	15.704625103210432	1.8792465488739367	160.5	84.0	126.0	-16.728923797607422	44.83753967285156	-3.929657220840454	-11.196821212768556	45.878265380859375	-29.273950576782227	-30.917739868164062	5.895416259765625	10.455642700195312	Insula	INSULA	sub-09 LAIN4
LAIN5	-30.35001838997832	17.831961675210437	6.531176008373933	3.5 mm	5	LAIN5	Left-Cerebral-White-Matter	2.0	GM	L	sEEG	insula	36	Insula	S_circular_insula_sup	50	Superior segment of the circular sulcus of the insula	Ventral Attention	5	17Networks_8	9	0.03703704	14.0	13.0	-29.333	3.0	49.3333	-30.35001838997832	17.831961675210437	6.531176008373933	158.333	79.6667	126.0	-19.524808883666992	46.16983413696289	-0.5018814206123352	-11.724699020385742	46.59867477416992	-25.715869903564453	-28.75073986816406	5.895416259765625	14.788942700195308	Insula	INSULA	sub-09 LAIN5
LAIN6	-28.357643404678328	20.124213103210423	11.527235048873932	3.5 mm	6	LAIN6	Left-Cerebral-White-Matter	2.0	GM	L	sEEG	insula	36	Insula	S_circular_insula_sup	50	Superior segment of the circular sulcus of the insula	Ventral Attention	5	17Networks_8	9	-0.8518519	2.0	25.0	-27.25	3.0	54.0	-28.357643404678328	20.124213103210423	11.527235048873932	156.25	75.0	126.0	-22.69700813293457	47.49163436889648	3.5268166065216064	-13.475120544433594	49.14910507202149	-20.69740295410156	-26.667739868164062	5.895416259765625	19.455642700195312	White Matter	EXCLUDE	sub-09 LAIN6
LAIN7	-26.18079540467835	22.333389103210425	16.358102048873945	3.5 mm	7	LAIN7	Left-Cerebral-White-Matter	2.0	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-25.0	3.0	58.5	-26.18079540467835	22.333389103210425	16.358102048873945	154.0	70.5	126.0	-22.69700813293457	47.49163436889648	3.5268166065216064	-13.250690460205078	51.40205001831055	-21.91863250732422	-24.417739868164062	5.895416259765625	23.955642700195312	White Matter	EXCLUDE	sub-09 LAIN7
LAIN8	-24.26868990467836	24.543801103210427	21.17522354887393	3.5 mm	8	LAIN8	Left-Cerebral-White-Matter	2.0	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-23.0	3.0	63.0	-24.26868990467836	24.543801103210427	21.17522354887393	152.0	66.0	126.0	-2.7707228660583496	63.5756721496582	53.82339859008789	3.1279759407043457	70.11829376220703	33.7913932800293	-22.417739868164062	5.895416259765625	28.455642700195312	White Matter	EXCLUDE	sub-09 LAIN8
LAIN9	-22.37397890467836	26.22360810321044	26.227852548873926	3.5 mm	9	LAIN9	Left-Cerebral-White-Matter	2.0	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-21.0	2.5	67.5	-22.37397890467836	26.22360810321044	26.227852548873926	150.0	61.5	126.5	-4.826291561126709	60.721317291259766	53.6644287109375	5.491473197937012	71.95394897460938	34.052001953125	-20.417739868164062	5.395416259765625	32.95564270019531	White Matter	EXCLUDE	sub-09 LAIN9
LAIN10	-20.84715038997831	28.06951167521042	31.61081600837393	3.5 mm	10	LAIN10	Left-Cerebral-White-Matter	2.0	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-19.333	2.0	72.3333	-20.84715038997831	28.06951167521042	31.61081600837393	148.333	56.6667	127.0	12.262422561645508	45.59786224365234	70.41990661621094	5.358210563659668	73.86569213867188	32.39801406860352	-18.75073986816406	4.895416259765625	37.788942700195314	White Matter	EXCLUDE	sub-09 LAIN10
